InitiatingProcessFileName
"powershell.exe"
"tiworker.exe"
"sensetracer.exe"

"mpcmdrun.exe"
"securityhealthservice.exe"
"netsh.exe"
"mpsigstub.exe"
"msmpeng.exe"
"mssense.exe"
"sensecm.exe"
"senseimdscollector.exe"
"poqexec.exe"
"senseir.exe"
"mpdlpservice.exe"
"werfaultsecure.exe"
"mssenses.exe"
