Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@ornikar,react-modern-calendar-datepicker,3.2.8,,2026-08-04T12:44:00.122Z,2026-08-04T12:49:14.233Z
npm,,native-frontend-orb,1.1.12,,2026-08-04T12:44:00.214Z,2026-08-04T12:49:13.737Z
npm,@ornikar,eslint-config-babel,24.0.10,,2026-08-04T12:44:09.966Z,2026-08-04T12:49:13.591Z
npm,@ornikar,jest-config,13.0.10,,2026-08-04T12:44:00.230Z,2026-08-04T12:49:13.439Z
npm,@ornikar,jest-config-react-native-web,12.0.11,,2026-08-04T12:44:09.874Z,2026-08-04T12:49:13.372Z
npm,@ornikar,react-modern-calendar-datepicker,3.2.9,,2026-08-04T12:44:09.511Z,2026-08-04T12:49:13.197Z
npm,,native-frontend-orb,1.1.15,,2026-08-04T12:45:12.209Z,2026-08-04T12:49:13.109Z
npm,@ornikar,eslint-config-node,12.2.8,,2026-08-04T12:44:10.043Z,2026-08-04T12:49:13.078Z
npm,@ornikar,repo-config-react-legacy-css,15.1.12,,2026-08-04T12:44:38.949Z,2026-08-04T12:49:13.036Z
npm,,pob-test-package-in-monorepo,5.2.10,,2026-08-04T12:44:00.071Z,2026-08-04T12:49:12.992Z
npm,@ornikar,kitt2,1.0.8,,2026-08-04T12:44:00.246Z,2026-08-04T12:49:12.959Z
npm,@ornikar,eslint-config-typescript-nestjs,24.0.10,,2026-08-04T12:44:38.819Z,2026-08-04T12:49:12.710Z
npm,@ornikar,webpack-config,12.0.10,,2026-08-04T12:44:09.695Z,2026-08-04T12:49:12.469Z
npm,@ornikar,react-modern-calendar-datepicker,3.2.10,,2026-08-04T12:44:38.873Z,2026-08-04T12:49:12.302Z
npm,@ornikar,prismic-components,0.0.9,,2026-08-04T12:44:00.266Z,2026-08-04T12:49:12.159Z
npm,@ornikar,rollup-config,11.1.13,,2026-08-04T12:45:11.773Z,2026-08-04T12:49:12.115Z
npm,@ornikar,browserslist-config,8.0.10,,2026-08-04T12:44:00.100Z,2026-08-04T12:49:12.065Z
npm,@ornikar,babel-preset-react,6.1.14,,2026-08-04T12:45:11.712Z,2026-08-04T12:49:11.660Z
npm,@ornikar,commitlint-config,8.3.11,,2026-08-04T12:44:39.075Z,2026-08-04T12:49:11.618Z
npm,@ornikar,repo-config-react-legacy-css,15.1.11,,2026-08-04T12:44:09.505Z,2026-08-04T12:49:11.603Z
npm,@ornikar,intl-config,10.0.9,,2026-08-04T12:43:59.982Z,2026-08-04T12:49:11.144Z
npm,@ornikar,jest-config-react-native,17.0.11,,2026-08-04T12:44:39.075Z,2026-08-04T12:49:10.764Z
npm,@ornikar,babel-preset-base,6.0.14,,2026-08-04T12:45:11.792Z,2026-08-04T12:49:10.599Z
npm,@ornikar,eslint-plugin-neverthrow,1.3.9,,2026-08-04T12:44:00.053Z,2026-08-04T12:49:10.490Z
npm,@ornikar,eslint-config-react,24.0.11,,2026-08-04T12:45:12.048Z,2026-08-04T12:49:10.427Z
npm,@ornikar,webpack-config,12.0.11,,2026-08-04T12:44:39.040Z,2026-08-04T12:49:10.039Z
npm,@ornikar,monorepo-config,14.3.10,,2026-08-04T12:44:00.243Z,2026-08-04T12:49:09.853Z
npm,@ornikar,repo-config,15.3.12,,2026-08-04T12:44:39.218Z,2026-08-04T12:49:09.675Z
npm,@ornikar,postcss-config,9.1.12,,2026-08-04T12:45:11.833Z,2026-08-04T12:49:09.475Z
npm,@ornikar,kitt2,1.0.9,,2026-08-04T12:44:09.420Z,2026-08-04T12:49:09.280Z
npm,@ornikar,babel-preset-base,6.0.13,,2026-08-04T12:44:38.919Z,2026-08-04T12:49:09.257Z
npm,,pob-test-typescript-package-in-monorepo,4.2.14,,2026-08-04T12:45:11.841Z,2026-08-04T12:49:09.108Z
npm,@ornikar,eslint-config,24.0.11,,2026-08-04T12:44:38.973Z,2026-08-04T12:49:09.088Z
npm,@ornikar,eslint-config-typescript,24.0.9,,2026-08-04T12:44:39.202Z,2026-08-04T12:49:09.059Z
npm,@ornikar,eslint-config-typescript-react,24.0.8,,2026-08-04T12:44:00.259Z,2026-08-04T12:49:08.907Z
npm,,native-frontend-orb,1.1.19,,2026-08-04T12:46:29.512Z,2026-08-04T12:49:08.839Z
npm,@ornikar,stylelint-config,14.0.11,,2026-08-04T12:44:09.889Z,2026-08-04T12:49:08.727Z
npm,@ornikar,eslint-plugin-ornikar,24.0.11,,2026-08-04T12:45:11.837Z,2026-08-04T12:49:08.669Z
npm,@ornikar,stylelint-config,14.0.13,,2026-08-04T12:45:11.654Z,2026-08-04T12:49:08.561Z
npm,@ornikar,storybook-config,12.1.9,,2026-08-04T12:44:38.995Z,2026-08-04T12:49:08.509Z
npm,@ornikar,jest-config-react-native,17.0.12,,2026-08-04T12:45:11.944Z,2026-08-04T12:49:08.445Z
npm,@ornikar,eslint-config-babel-use,13.2.9,,2026-08-04T12:44:00.225Z,2026-08-04T12:49:08.360Z
npm,@ornikar,repo-config-react,13.0.19,,2026-08-04T12:45:11.908Z,2026-08-04T12:49:08.341Z
npm,@ornikar,graphql-config,1.1.10,,2026-08-04T12:44:38.842Z,2026-08-04T12:49:08.109Z
npm,@ornikar,storybook-config,12.1.10,,2026-08-04T12:45:12.100Z,2026-08-04T12:49:07.899Z
npm,@ornikar,eslint-config-react,24.0.8,,2026-08-04T12:44:00.415Z,2026-08-04T12:49:07.875Z
npm,,pob-test-typescript-package-in-monorepo,4.2.13,,2026-08-04T12:44:38.962Z,2026-08-04T12:49:07.641Z
npm,@ornikar,eslint-config-formatjs,24.0.10,,2026-08-04T12:45:11.771Z,2026-08-04T12:49:07.595Z
npm,@ornikar,kitt2,1.0.10,,2026-08-04T12:44:39.104Z,2026-08-04T12:49:07.571Z
npm,@ornikar,eslint-plugin-neverthrow,1.3.10,,2026-08-04T12:44:09.885Z,2026-08-04T12:49:07.453Z
npm,@ornikar,rollup-config,11.1.10,,2026-08-04T12:44:00.234Z,2026-08-04T12:49:07.404Z
npm,@ornikar,eslint-config-babel,24.0.11,,2026-08-04T12:44:38.874Z,2026-08-04T12:49:07.297Z
npm,@ornikar,babel-preset-react,6.1.11,,2026-08-04T12:44:00.198Z,2026-08-04T12:49:07.266Z
npm,@ornikar,eslint-config-typescript-nestjs,24.0.8,,2026-08-04T12:44:00.128Z,2026-08-04T12:49:07.125Z
npm,@ornikar,eslint-config-typescript,24.0.10,,2026-08-04T12:45:12.182Z,2026-08-04T12:49:07.049Z
npm,@ornikar,repo-config,15.3.13,,2026-08-04T12:45:11.942Z,2026-08-04T12:49:06.935Z
npm,@ornikar,apollo-link-timeout,1.4.9,,2026-08-04T12:44:10.057Z,2026-08-04T12:49:06.740Z
npm,@ornikar,apollo-link-timeout,1.4.11,,2026-08-04T12:45:11.652Z,2026-08-04T12:49:06.726Z
npm,,frontend-orb,4.4.15,,2026-08-04T12:45:48.160Z,2026-08-04T12:49:06.725Z
npm,@ornikar,renovate-config,9.0.10,,2026-08-04T12:44:00.128Z,2026-08-04T12:49:06.716Z
npm,@ornikar,typed-css-modules-loader,0.8.11,,2026-08-04T12:44:38.921Z,2026-08-04T12:49:06.667Z
